Change Component Footprint: Designator=C58 Old Footprint=EXV106M050A9GAA New Footprint=UCD1H101MNL1GS
Change Component Comment : Designator=C58 Old Comment=10uF New Comment=100uF
Change component parameters: Designator = "C58" ("C58"); Footprint = "EXV106M050A9GAA"; UniqueID = "\LBSOWLES" ("\LBSOWLES")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "100uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitor Type"; Value = "Aluminium"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Aluminum Electrolytic Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/NICH/NICH-S-A0003527725/NICH-S-A0003527725-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/NICH/NICH-S-A0003527725/NICH-S-A0003527725-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/11776/0900766b80ebdadd-11776792.pdf?src-supplier=Rs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/11776/0900766b80ebdadd-11776792.pdf?src-supplier=Rs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/5360/e-cd-22158-5360840.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/5360/e-cd-22158-5360840.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/6301/e-cd-6301305.pdf?src-supplier=Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/6301/e-cd-6301305.pdf?src-supplier=Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Aluminium"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "10mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JESD-609 Code"; Value = "e6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Leakage Current"; Value = "50uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "8.9mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Nichicon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "UCD1H101MNL1GS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Negative Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Shape"; Value = "Cylindrical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Style"; Value = "SMTMeter"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Polarity"; Value = "Polarized"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Positive Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.64, 10=0.45, 50=0.379, 100=0.3086 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated DC Voltage (URdc)"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reach SVHC Compliant"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ripple Current"; Value = "175mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size Code"; Value = "3333"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "10305"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "493-6388-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tan Delta"; Value = "0.1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Finish"; Value = "Copper"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Flat"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "8.3mm"; VariantName = "[No Variations]"
