Removed Pin From Net: NetName=CCT_24V Pin=J20-1
Removed Pin From Net: NetName=CCT_24V Pin=J20-2
Removed Pin From Net: NetName=DC_BRAKE_GND Pin=J20-3
Removed Pin From Net: NetName=DC_BRAKE_GND Pin=J20-4
Removed Member From Class: ClassName=RoBeast_DC_Brake Member=J20
Change component parameters: Designator = "J17" ("J17"); Footprint = "26-01-3114"; UniqueID = "\TZXDNCEO" ("\TZXDNCEO")
Change component parameters (AddParameter): Name = "Category"; Value = "Headers and Wire Housings"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/MOLE/MOLE-S-A0003541135/MOLE-S-A0003541135-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/MOLE/MOLE-S-A0003541135/MOLE-S-A0003541135-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Power,Rectangular"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish - Mating"; Value = "TIN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish - Termination"; Value = "TIN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Copper"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DIN Conformance"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Empty Shell"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Filter Feature"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Flammability Rating"; Value = "UL94 V-0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "IEC Conformance"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JESD-609 Code"; Value = "e3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "76825-0002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mating Information"; Value = "MULTIPLE MATING PARTS AVAILABLE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MIL Conformance"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mixed Contacts"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Board"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Option"; Value = "General Purpose"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=1.38, 10=1.174, 80=0.96963, 1850=0.74001, 3700=0.71449 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reach SVHC Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shell Material"; Value = "Polymer"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "94658"; VariantName = "[No Variations]"
